Iteration,A,R,sdvig,polojenie
1,2.5,10.0,20,-50.0
2,2.5,10.0,20,-47.5
3,2.5,10.0,20,-45.0
4,2.5,10.0,20,-42.5
5,2.5,10.0,20,-40.0
6,2.5,10.0,20,-37.5
7,2.5,10.0,20,-35.0
8,2.5,10.0,20,-32.5
9,2.5,10.0,20,-30.0
10,2.5,10.0,20,-27.5
11,2.5,10.0,20,-25.0
12,2.5,10.0,20,-22.5
13,2.5,10.0,20,-20.0
14,2.5,10.0,20,-17.5
15,2.5,10.0,20,-15.0
16,2.5,10.0,20,-12.5
17,2.5,10.0,20,-10.0
18,2.5,10.0,20,-7.5
19,2.5,10.0,20,-5.0
20,2.5,10.0,20,-2.5
21,2.5,10.0,20,0.0
22,2.5,10.0,20,2.5
23,2.5,10.0,20,5.0
24,2.5,10.0,20,7.5
25,2.5,10.0,20,10.0
26,2.5,10.0,20,12.5
27,2.5,10.0,20,15.0
28,2.5,10.0,20,17.5
29,2.5,10.0,20,20.0
30,2.5,10.0,20,22.5
31,2.5,10.0,20,25.0
32,2.5,10.0,20,27.5
33,2.5,10.0,20,30.0
34,2.5,10.0,20,32.5
35,2.5,10.0,20,35.0
36,2.5,10.0,20,37.5
37,2.5,10.0,20,40.0
38,2.5,10.0,20,42.5
39,2.5,10.0,20,45.0
40,2.5,10.0,20,47.5
41,2.5,10.0,20,50.0
42,2.5,10.0,30,-50.0
43,2.5,10.0,30,-47.5
44,2.5,10.0,30,-45.0
45,2.5,10.0,30,-42.5
46,2.5,10.0,30,-40.0
47,2.5,10.0,30,-37.5
48,2.5,10.0,30,-35.0
49,2.5,10.0,30,-32.5
50,2.5,10.0,30,-30.0
51,2.5,10.0,30,-27.5
52,2.5,10.0,30,-25.0
53,2.5,10.0,30,-22.5
54,2.5,10.0,30,-20.0
55,2.5,10.0,30,-17.5
56,2.5,10.0,30,-15.0
57,2.5,10.0,30,-12.5
58,2.5,10.0,30,-10.0
59,2.5,10.0,30,-7.5
60,2.5,10.0,30,-5.0
