filename,A,R,sdvig,polojenie
interf_1.png,2.5,10.0,20,-50.0
interf_2.png,2.5,10.0,20,-47.5
interf_3.png,2.5,10.0,20,-45.0
interf_4.png,2.5,10.0,20,-42.5
interf_5.png,2.5,10.0,20,-40.0
interf_6.png,2.5,10.0,20,-37.5
interf_7.png,2.5,10.0,20,-35.0
interf_8.png,2.5,10.0,20,-32.5
interf_11.png,2.5,10.0,20,-25.0
interf_12.png,2.5,10.0,20,-22.5
interf_13.png,2.5,10.0,20,-20.0
interf_14.png,2.5,10.0,20,-17.5
interf_15.png,2.5,10.0,20,-15.0
interf_16.png,2.5,10.0,20,-12.5
interf_17.png,2.5,10.0,20,-10.0
interf_18.png,2.5,10.0,20,-7.5
interf_21.png,2.5,10.0,20,0.0
interf_22.png,2.5,10.0,20,2.5
interf_23.png,2.5,10.0,20,5.0
interf_24.png,2.5,10.0,20,7.5
interf_25.png,2.5,10.0,20,10.0
interf_26.png,2.5,10.0,20,12.5
interf_27.png,2.5,10.0,20,15.0
interf_28.png,2.5,10.0,20,17.5
interf_31.png,2.5,10.0,20,25.0
interf_32.png,2.5,10.0,20,27.5
interf_33.png,2.5,10.0,20,30.0
interf_34.png,2.5,10.0,20,32.5
interf_35.png,2.5,10.0,20,35.0
interf_36.png,2.5,10.0,20,37.5
interf_37.png,2.5,10.0,20,40.0
interf_38.png,2.5,10.0,20,42.5
interf_41.png,2.5,10.0,20,50.0
interf_42.png,2.5,10.0,30,-50.0
interf_43.png,2.5,10.0,30,-47.5
interf_44.png,2.5,10.0,30,-45.0
interf_45.png,2.5,10.0,30,-42.5
interf_46.png,2.5,10.0,30,-40.0
interf_47.png,2.5,10.0,30,-37.5
interf_48.png,2.5,10.0,30,-35.0
interf_51.png,2.5,10.0,30,-27.5
interf_52.png,2.5,10.0,30,-25.0
interf_53.png,2.5,10.0,30,-22.5
interf_54.png,2.5,10.0,30,-20.0
interf_55.png,2.5,10.0,30,-17.5
interf_56.png,2.5,10.0,30,-15.0
interf_57.png,2.5,10.0,30,-12.5
interf_58.png,2.5,10.0,30,-10.0
interf_61.png,2.5,10.0,30,-2.5
interf_62.png,2.5,10.0,30,0.0
interf_63.png,2.5,10.0,30,2.5
interf_64.png,2.5,10.0,30,5.0
interf_65.png,2.5,10.0,30,7.5
interf_66.png,2.5,10.0,30,10.0
interf_67.png,2.5,10.0,30,12.5
interf_68.png,2.5,10.0,30,15.0
interf_71.png,2.5,10.0,30,22.5
interf_72.png,2.5,10.0,30,25.0
interf_73.png,2.5,10.0,30,27.5
interf_74.png,2.5,10.0,30,30.0
interf_75.png,2.5,10.0,30,32.5
interf_76.png,2.5,10.0,30,35.0
interf_77.png,2.5,10.0,30,37.5
interf_78.png,2.5,10.0,30,40.0
interf_81.png,2.5,10.0,30,47.5
interf_82.png,2.5,10.0,30,50.0
interf_83.png,2.5,10.0,40,-50.0
interf_84.png,2.5,10.0,40,-47.5
interf_85.png,2.5,10.0,40,-45.0
interf_86.png,2.5,10.0,40,-42.5
interf_87.png,2.5,10.0,40,-40.0
interf_88.png,2.5,10.0,40,-37.5
interf_91.png,2.5,10.0,40,-30.0
interf_92.png,2.5,10.0,40,-27.5
interf_93.png,2.5,10.0,40,-25.0
interf_94.png,2.5,10.0,40,-22.5
interf_95.png,2.5,10.0,40,-20.0
interf_96.png,2.5,10.0,40,-17.5
interf_97.png,2.5,10.0,40,-15.0
interf_98.png,2.5,10.0,40,-12.5
interf_101.png,2.5,10.0,40,-5.0
interf_102.png,2.5,10.0,40,-2.5
interf_103.png,2.5,10.0,40,0.0
interf_104.png,2.5,10.0,40,2.5
interf_105.png,2.5,10.0,40,5.0
interf_106.png,2.5,10.0,40,7.5
interf_107.png,2.5,10.0,40,10.0
interf_108.png,2.5,10.0,40,12.5
interf_111.png,2.5,10.0,40,20.0
